@relation exp_3_kmeans_5_7_g1

@attribute temp_media numeric
@attribute 2006 numeric
@attribute 2007 numeric
@attribute 2008 numeric
@attribute 2009 numeric
@attribute 2010 numeric
@attribute 2011 numeric
@attribute 2012 numeric
@attribute 2013 numeric
@attribute 2014 numeric
@attribute 2015 numeric
@attribute 2016 numeric
@attribute 2017 numeric
@attribute 2018 numeric
@attribute 2019 numeric
@attribute sis_cost_Pertence {0,1}
@attribute sis_cost_n_pertence {0,1}
@attribute sis_cost_pertence {0,1}
@attribute bioma_amazonia {0,1}
@attribute bioma_amazonia_cerrado {0,1}
@attribute bioma_amazonia_cerrado_pantanal {0,1}
@attribute bioma_amazonia_pantanal {0,1}
@attribute bioma_caatinga {0,1}
@attribute bioma_caatinga_cerrado {0,1}
@attribute bioma_caatinga_cerrado_mata_atlantica {0,1}
@attribute bioma_caatinga_mata_atlantica {0,1}
@attribute bioma_cerrado {0,1}
@attribute bioma_cerrado_mata_atlantica {0,1}
@attribute bioma_cerrado_pantanal {0,1}
@attribute bioma_mata_atlantica {0,1}
@attribute bioma_mata_atlantica_pampa {0,1}
@attribute bioma_pampa {0,1}
@attribute bioma_pantanal {0,1}
@attribute fx_area_grande {0,1}
@attribute fx_area_media {0,1}
@attribute fx_area_muito_pequena {0,1}
@attribute fx_area_pequena {0,1}
@attribute fx_pop_alto {0,1}
@attribute fx_pop_baixa {0,1}
@attribute fx_pop_media {0,1}
@attribute fx_pop_muito_alta {0,1}
@attribute fx_pop_muito_baixa {0,1}
@attribute categoria_2020 {baixo,medio,alto}

@data
0,0.000211,0.000216,0.000217,0.000219,0.000221,0.000222,0.000219,0.000216,0.000261,0.000315,0.000344,0.000375,0.000409,0.000441,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,medio
0,0.002083,0.002012,0.001955,0.002,0.001945,0.001888,0.001935,0.00215,0.002647,0.003232,0.003567,0.003923,0.004303,0.004659,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,alto
0,0.001385,0.001415,0.001352,0.001352,0.001399,0.001398,0.001406,0.001535,0.00172,0.001946,0.002018,0.002105,0.002207,0.002298,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,alto
0,0.000881,0.000877,0.000841,0.000839,0.000842,0.000822,0.000843,0.000902,0.001052,0.001231,0.001314,0.001405,0.001506,0.001599,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,alto
0,0.000325,0.00032,0.000312,0.000312,0.000317,0.000315,0.000319,0.000336,0.000374,0.00042,0.000433,0.000449,0.000469,0.000486,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,medio
0,0.000127,0.000124,0.000125,0.000126,0.000128,0.000125,0.000126,0.00013,0.000153,0.00018,0.000193,0.000207,0.000222,0.000237,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,medio
0,0.000295,0.00029,0.000293,0.000295,0.000293,0.000298,0.000303,0.000318,0.000369,0.000429,0.000457,0.000487,0.000521,0.000551,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,medio
0,0.000584,0.000574,0.000553,0.000562,0.000593,0.000612,0.000595,0.000641,0.00073,0.000838,0.00088,0.000929,0.000983,0.001033,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,alto
0,0.001422,0.001557,0.001552,0.001602,0.001627,0.001623,0.001646,0.00176,0.002072,0.002443,0.002622,0.002819,0.003035,0.003234,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,alto
0,0.000041,0.000043,0.000041,0.00004,0.000041,0.000042,0.000043,0.000046,0.000053,0.000061,0.000064,0.000068,0.000072,0.000076,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,baixo
