@relation exp_3_kmeans_5_7_g3

@attribute temp_media numeric
@attribute 2006 numeric
@attribute 2007 numeric
@attribute 2008 numeric
@attribute 2009 numeric
@attribute 2010 numeric
@attribute 2011 numeric
@attribute 2012 numeric
@attribute 2013 numeric
@attribute 2014 numeric
@attribute 2015 numeric
@attribute 2016 numeric
@attribute 2017 numeric
@attribute 2018 numeric
@attribute 2019 numeric
@attribute sis_cost_Pertence {0,1}
@attribute sis_cost_n_pertence {0,1}
@attribute sis_cost_pertence {0,1}
@attribute bioma_amazonia {0,1}
@attribute bioma_amazonia_cerrado {0,1}
@attribute bioma_amazonia_cerrado_pantanal {0,1}
@attribute bioma_amazonia_pantanal {0,1}
@attribute bioma_caatinga {0,1}
@attribute bioma_caatinga_cerrado {0,1}
@attribute bioma_caatinga_cerrado_mata_atlantica {0,1}
@attribute bioma_caatinga_mata_atlantica {0,1}
@attribute bioma_cerrado {0,1}
@attribute bioma_cerrado_mata_atlantica {0,1}
@attribute bioma_cerrado_pantanal {0,1}
@attribute bioma_mata_atlantica {0,1}
@attribute bioma_mata_atlantica_pampa {0,1}
@attribute bioma_pampa {0,1}
@attribute bioma_pantanal {0,1}
@attribute fx_area_grande {0,1}
@attribute fx_area_media {0,1}
@attribute fx_area_muito_pequena {0,1}
@attribute fx_area_pequena {0,1}
@attribute fx_pop_alto {0,1}
@attribute fx_pop_baixa {0,1}
@attribute fx_pop_media {0,1}
@attribute fx_pop_muito_alta {0,1}
@attribute fx_pop_muito_baixa {0,1}
@attribute categoria_2020 {baixo,medio,alto}

@data
0.647059,0.001172,0.000037,0.000165,0.000284,0.000395,0.000491,0.000586,0.000709,0.000886,0.00131,0.001518,0.001666,0.001657,0.001807,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,alto
0.647059,0.000483,0.000536,0.00058,0.000631,0.00068,0.000713,0.000754,0.000832,0.000867,0.001097,0.001185,0.001242,0.001235,0.001295,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,alto
0.647059,0.000558,0.000756,0.000927,0.0011,0.001264,0.001392,0.001531,0.001744,0.002061,0.00219,0.002496,0.002611,0.002597,0.002717,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,alto
0.647059,0.000447,0.000432,0.000416,0.00041,0.000406,0.000395,0.00039,0.000406,0.00042,0.000472,0.00052,0.000537,0.000534,0.000552,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,medio
0.647059,0.005524,0.005646,0.005716,0.005895,0.006076,0.006136,0.006282,0.006742,0.00861,0.009219,0.010136,0.010558,0.010502,0.010947,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,alto
0.647059,0.000392,0.00041,0.000423,0.000443,0.000463,0.000473,0.00049,0.000544,0.000582,0.000642,0.000696,0.000717,0.000714,0.000736,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,medio
0.647059,0.000574,0.000595,0.000609,0.000634,0.000659,0.00067,0.000691,0.000763,0.000907,0.000989,0.001114,0.001166,0.00116,0.001215,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,alto
0.647059,0.000271,0.00027,0.000267,0.000269,0.000272,0.000271,0.000273,0.000307,0.000335,0.000354,0.000387,0.000397,0.000395,0.000407,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,medio
0.647059,0.000301,0.000316,0.000328,0.000345,0.000362,0.000371,0.000385,0.000441,0.000529,0.000666,0.000752,0.000805,0.0008,0.000854,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,medio
0.647059,0.000288,0.000303,0.000315,0.000331,0.000348,0.000357,0.00037,0.000425,0.000454,0.000475,0.000528,0.000544,0.000541,0.000558,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,medio
0.647059,0.000789,0.000802,0.000808,0.00083,0.000853,0.000858,0.000876,0.001049,0.001204,0.001497,0.001696,0.001809,0.0018,0.001915,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,alto
0.647059,0.000609,0.00073,0.000833,0.000942,0.001047,0.001125,0.001213,0.001358,0.001548,0.001711,0.001942,0.002035,0.002024,0.002122,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,alto
0.647059,0.000205,0.000198,0.000191,0.000188,0.000186,0.000181,0.000179,0.000187,0.00019,0.000214,0.000213,0.000213,0.000212,0.000213,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,medio
